rebalance_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2013-04-10,EZTC3,EZTEC,20770,2013-03-19 21:23:21,2012-12-31,146.72412,-33.00400000000002,309.999,0.1739774032725884,4130.2839779999995,4097.279978,0.07565970635751366,14
2013-04-10,HGTX3,CIA HERING,14761,2013-02-21 19:03:29,2012-12-31,164.224,-168.763,373.13,0.4511321086531203,6389.955839999999,6221.192839999999,0.059977243849589475,15
2013-04-10,EUCA4,EUCATEX,5770,2013-03-20 19:44:00,2012-12-31,92.619,193.112,172.774,0.0940251935859178,818.7519599999999,1011.8639599999999,0.17074824959671459,16
2013-04-10,TGMA3,TEGMA,20800,2013-03-31 22:39:16,2012-12-31,66.002,284.76000000000005,154.573,0.1643810705423608,1989.30028,2274.06028,0.06797225269683704,17
2013-04-10,BEMA3,BEMATECH,20656,2013-03-04 18:02:15,2012-12-31,51.56827,-32.046,44.86,0.1016849263316962,460.5046511,428.4586511,0.10470088510251578,18
2013-04-10,PCAR4,P.ACUCAR-CBD,14826,2013-02-20 20:34:22,2012-12-31,263.41,3406.0030000000006,2869.207,0.1162987146981723,28464.084600000002,31870.087600000003,0.09002821190864878,19
2013-04-10,ALPA4,ALPARGATAS,10456,2013-03-15 18:37:26,2012-12-31,388.801,-318.15500000000003,291.759,0.1825502494221862,5163.277279999999,4845.12228,0.06021705606984186,20
2013-04-10,GRND3,GRENDENE,19615,2013-02-28 20:04:01,2012-12-31,300.72,-341.558,362.813,0.2054158817413503,6510.588,6169.03,0.058812001238444295,21
2013-04-10,IGTA3,IGUATEMI,20494,2013-03-19 18:35:18,2012-12-31,158.510978,559.9140000000001,365.094,0.1241261072659725,4070.56191504,4630.47591504,0.07884589115649167,22
2013-04-10,LREN3,LOJAS RENNER,8133,2013-02-26 19:05:40,2012-12-31,124.17,632.1370000000002,559.25,0.2588653700897074,9169.9545,9802.0915,0.057054150127041764,23
2013-04-10,RDNI3,RODOBENSIMOB,20451,2013-03-26 18:25:07,2012-12-31,48.575,258.467,124.733,0.0695163632924518,716.967,975.434,0.12787436156623616,24
2013-04-10,EVEN3,EVEN,20524,2013-03-04 20:04:10,2012-12-31,233.293408,976.923,326.279,0.0837256213205019,2318.93647552,3295.85947552,0.09899663575569215,25
2013-04-10,AMAR3,LOJAS MARISA,22055,2013-02-05 20:32:28,2012-12-31,185.449,485.4930000000001,355.416,0.1953838760002431,5726.665120000001,6212.158120000001,0.05721296739948402,26
2013-04-10,DIRR3,DIRECIONAL,21350,2013-03-25 19:42:36,2012-12-31,153.972578,319.576,225.422,0.1098383120847708,2414.29002304,2733.86602304,0.08245539397330656,27
2013-04-10,GSHP3,GENERALSHOPP,21008,2013-04-04 19:28:23,2012-12-31,50.4806,616.748,108.156,0.1043563230321432,627.978664,1244.726664,0.08689136589428761,28
