DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
ECO050 - CONCESSIONÁRIA DE RODOVIAS S.A.|2016-03-02||ATIVO|2016-03-02|23884|Serviços Transporte e Logística|PRIVADO
CONCESSIONÁRIA BR-040 S.A.|2016-03-18||ATIVO|2016-03-18|23892|Serviços Transporte e Logística|PRIVADO HOLDING
CONCESSIONÁRIA ROTA DO OESTE S.A.|2016-06-07||ATIVO|2016-06-07|23922|Serviços Transporte e Logística|PRIVADO
SUGOI S.A.|2016-07-19||ATIVO|2016-07-19|23957|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CINESYSTEM S.A.|2016-07-20||ATIVO|2016-07-20|23965|Brinquedos e Lazer|PRIVADO
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.|2016-08-24||ATIVO|2016-08-24|23981|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.|2016-10-26||ATIVO|2016-10-26|24058|Serviços Médicos|PRIVADO
TCP - TERMINAL DE CONTÊINERES DE PARANAGUÁ S.A.|2016-10-27||ATIVO|2016-10-27|24066|Serviços Transporte e Logística|PRIVADO
INSTITUTO HERMES PARDINI S/A|2017-02-10||ATIVO|2017-02-10|24090|Serviços Médicos|PRIVADO
CONCESSIONÁRIA DA RODOVIA MG-050 S.A.|2017-03-06||ATIVO|2017-03-06|24104|Serviços Transporte e Logística|PRIVADO
AZUL S.A.|2017-04-07||ATIVO|2017-04-07|24112|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE|2017-05-25||ATIVO|2017-05-25|24139|Serviços Transporte e Logística|PRIVADO
LGT HUB PARTICIPAÇÕES S/A|2017-08-28|2018-06-18|CANCELADA|2018-06-18|24198|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS|2017-09-18||ATIVO|2017-09-18|24201|Máquinas, Equipamentos, Veículos e Peças|PRIVADO HOLDING
CAMIL ALIMENTOS S/A|2017-09-26||ATIVO|2017-09-26|24228|Alimentos|PRIVADO HOLDING
PRINER SERVIÇOS INDUSTRIAIS S.A.|2017-10-02||ATIVO|2017-10-02|24236|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MAGNESITA MINERAÇÃO S.A.|2017-10-04|2018-12-14|CANCELADA|2018-12-14|24244|Emp. Adm. Part. - Extração Mineral|PRIVADO
SMILES FIDELIDADE S.A.|2017-10-10|2021-09-01|CANCELADA|2021-09-01|24252|Comércio (Atacado e Varejo)|PRIVADO
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.|2017-10-20||ATIVO|2017-10-20|24260|Brinquedos e Lazer|PRIVADO
INTER CONSTRUTORA E INCORPORADORA S.A|2017-11-09||ATIVO|2017-11-09|24279|Construção Civil, Mat. Constr. e Decoração|PRIVADO
VIBRA ENERGIA S/A|2017-12-12||ATIVO|2017-12-12|24295|Comércio (Atacado e Varejo)|PRIVADO
VENTURE CAPITAL PARTICIPAÇÕES E INVESTIMENTOS S.A.|2017-12-12|2021-08-19|CANCELADA|2021-08-19|24309|Emp. Adm. Part. - Hospedagem e Turismo|PRIVADO
BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.|2017-12-14||ATIVO|2017-12-14|24317|Alimentos|PRIVADO
ENTREVIAS CONCESSIONÁRIA DE RODOVIAS S.A.|2018-03-01||ATIVO|2018-03-01|24341|Serviços Transporte e Logística|PRIVADO
FLEX GESTÃO DE RELACIONAMENTO S.A.|2018-03-01||ATIVO|2018-03-01|24350|Comunicação e Informática|PRIVADO
HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A|2018-04-11|2020-06-15|CANCELADA|2020-06-15|24376|Hospedagem e Turismo|PRIVADO
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.|2018-04-19|2022-03-18|CANCELADA|2022-03-18|24384|Emp. Adm. Part. - Serviços médicos|PRIVADO
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.|2018-04-20||ATIVO|2018-04-20|24392|Serviços Médicos|PRIVADO HOLDING
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A.|2018-04-26|2018-11-09|CANCELADA|2018-11-09|24414|Têxtil e Vestuário|PRIVADO
USINAGEM EDLYN PARTICIPAÇÕES S.A.|2018-06-06|2020-08-28|CANCELADA|2020-08-28|24449|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
JHSF MALLS S.A.|2018-06-25||ATIVO|2018-06-25|24473|Comércio (Atacado e Varejo)|PRIVADO HOLDING
SABER SERVIÇOS EDUCACIONAIS S.A.|2018-08-13||ATIVO|2018-08-13|24490|Educação|PRIVADO
PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.|2018-09-27||ATIVO|2018-09-27|24546|Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças|PRIVADO
BLAU FARMACÊUTICA S.A.|2019-01-11||ATIVO|2019-01-11|24627|Farmacêutico e Higiene|PRIVADO
BBM LOGÍSTICA S.A.|2019-02-27||ATIVO|2019-02-27|24660|Serviços Transporte e Logística|PRIVADO
SLOT URBANISMO S.A.|2019-03-21|2020-01-31|CANCELADA|2020-01-31|24678|Construção Civil, Mat. Constr. e Decoração|PRIVADO
GRUPO SBF S.A.|2019-04-15||ATIVO|2019-04-15|24694|Comércio (Atacado e Varejo)|PRIVADO HOLDING
NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS|2019-04-18||ATIVO|2019-04-18|24708|Emp. Adm. Part. - Petróleo e Gás|PRIVADO
VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.|2019-04-30||ATIVO|2019-04-30|24716|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
LITELA PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO|2019-09-05||ATIVO|2019-09-05|24759|Emp. Adm. Part. - Extração Mineral|PRIVADO
BCBF PARTICIPAÇÕES S.A.|2019-09-16||ATIVO|2019-09-16|24775|Emp. Adm. Part. - Serviços médicos|PRIVADO
NATURA & CO HOLDING S.A.|2019-09-25||ATIVO|2019-09-25|24783|Farmacêutico e Higiene|PRIVADO
VIVARA PARTICIPAÇÕES S.A.|2019-10-08||ATIVO|2019-10-08|24805|Comércio (Atacado e Varejo)|PRIVADO
LOCALIZA  FLEET S.A.|2019-10-10||ATIVO|2019-10-10|24813|Serviços Transporte e Logística|PRIVADO HOLDING
REDE D'OR SÃO LUIZ S.A.|2019-10-21||ATIVO|2019-10-21|24821|Serviços Médicos|PRIVADO
C&A MODAS S.A.|2019-10-24||ATIVO|2019-10-24|24848|Têxtil e Vestuário|PRIVADO
UP ENGENHARIA E URBANISMO S.A.|2019-11-04|2021-09-29|CANCELADA|2021-09-29|24856|Construção Civil, Mat. Constr. e Decoração|PRIVADO
LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.|2019-11-08||ATIVO|2019-11-08|24872|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.|2019-11-29||ATIVO|2019-11-29|24880|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.|2020-02-03||ATIVO|2020-02-03|24902|Construção Civil, Mat. Constr. e Decoração|PRIVADO
LOCAWEB SERVIÇOS DE INTERNET S.A.|2020-02-04||ATIVO|2020-02-04|24910|Comunicação e Informática|PRIVADO
ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.|2020-05-13||ATIVO|2020-05-13|24953|Serviços Transporte e Logística|PRIVADO
RIVA INCORPORADORA S/A|2020-07-28||ATIVO|2020-07-28|24996|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SIMPAR S.A.|2020-07-29||ATIVO|2020-07-29|25003|Serviços Transporte e Logística|PRIVADO
GRUPO DE MODA SOMA S.A.|2020-07-29||ATIVO|2020-07-29|25011|Comércio (Atacado e Varejo)|PRIVADO
LOJAS QUERO-QUERO S.A.|2020-08-06||ATIVO|2020-08-06|25038|Comércio (Atacado e Varejo)|PRIVADO
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.|2020-08-06||ATIVO|2020-08-06|25046|Comércio (Atacado e Varejo)|PRIVADO HOLDING
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A|2020-08-31||ATIVO|2020-08-31|25062|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.|2020-09-04||ATIVO|2020-09-04|25070|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.|2020-09-09||ATIVO|2020-09-09|25089|Comércio (Atacado e Varejo)|PRIVADO
CURY CONSTRUTORA E INCORPORADORA S.A.|2020-09-17||ATIVO|2020-09-17|25100|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.|2020-09-24||ATIVO|2020-09-24|25119|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BOA VISTA SERVIÇOS S.A.|2020-09-28||ATIVO|2020-09-28|25135|Comunicação e Informática|PRIVADO
PACAEMBU CONSTRUTORA S.A.|2020-10-01||ATIVO|2020-10-01|25143|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.|2020-10-05||ATIVO|2020-10-05|25160|Serviços Transporte e Logística|PRIVADO
GRUPO MATEUS S.A.|2020-10-08||ATIVO|2020-10-08|25186|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO HOLDING
TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.|2020-10-14||ATIVO|2020-10-14|25194|Emp. Adm. Part. - Telecomunicações|PRIVADO
TRACK & FIELD CO S.A|2020-10-22||ATIVO|2020-10-22|25208|Têxtil e Vestuário|PRIVADO
2W ENERGIA S.A.|2020-10-29||ATIVO|2020-10-29|25224|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MELIUZ S.A.|2020-11-03||ATIVO|2020-11-03|25232|Comunicação e Informática|PRIVADO
ENJOEI S.A.|2020-11-05||ATIVO|2020-11-05|25259|Comunicação e Informática|PRIVADO
ALPHAVILLE S.A.|2020-11-05||ATIVO|2020-11-05|25275|Construção Civil, Mat. Constr. e Decoração|PRIVADO
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.|2020-11-09||ATIVO|2020-11-09|25283|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
3R PETROLEUM OLÉO E GÁS S.A.|2020-11-09||ATIVO|2020-11-09|25291|Petróleo e Gás|PRIVADO
PATRIMAR ENGENHARIA S.A.|2020-11-10||ATIVO|2020-11-10|25305|Construção Civil, Mat. Constr. e Decoração|PRIVADO
HOUSI S.A.|2020-11-10|2022-06-21|CANCELADA|2022-06-21|25313|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
GRANBIO INVESTIMENTOS S.A.|2020-11-13||ATIVO|2020-11-13|25321|Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)|PRIVADO
ALLIED TECNOLOGIA S.A.|2020-11-25||ATIVO|2020-11-25|25330|Comércio (Atacado e Varejo)|PRIVADO
ELFA MEDICAMENTOS S.A.|2020-12-02||ATIVO|2020-12-02|25348|Serviços Médicos|PRIVADO
CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.|2020-12-04||ATIVO|2020-12-04|25356|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
SENDAS DISTRIBUIDORA S.A.|2020-12-11||ATIVO|2020-12-11|25372|Comércio (Atacado e Varejo)|PRIVADO HOLDING
EZ INC INCORPORAÇÕES COMERCIAIS S.A.|2020-12-14||ATIVO|2020-12-14|25380|Construção Civil, Mat. Constr. e Decoração|PRIVADO
NEOGRID PARTICIPACÕES S.A.|2020-12-15||ATIVO|2020-12-15|25399|Comunicação e Informática|PRIVADO HOLDING
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.|2020-12-18||ATIVO|2020-12-18|25402|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.|2021-01-06||ATIVO|2021-01-06|25410|Comércio (Atacado e Varejo)|PRIVADO HOLDING
FARMÁCIA E DROGARIA NISSEI S.A.|2021-01-14||ATIVO|2021-01-14|25429|Comércio (Atacado e Varejo)|PRIVADO
URBA DESENVOLVIMENTO URBANO S.A.|2021-01-25||ATIVO|2021-01-25|25437|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MPM CORPÓREOS S.A.|2021-01-28||ATIVO|2021-01-28|25445|Serviços Médicos|PRIVADO
INTELBRAS S.A.|2021-02-02||ATIVO|2021-02-02|25453|Comércio (Atacado e Varejo)|PRIVADO
MOBLY S.A.|2021-02-03||ATIVO|2021-02-03|25461|Comércio (Atacado e Varejo)|PRIVADO
MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.|2021-02-03|2022-05-16|CANCELADA|2022-05-16|25470|Comunicação e Informática|PRIVADO
JALLES MACHADO S.A.|2021-02-04||ATIVO|2021-02-04|25496|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
BEMOBI MOBILE TECH S.A.|2021-02-08||ATIVO|2021-02-08|25500|Comunicação e Informática|PRIVADO
WESTWING COMÉRCIO VAREJISTA S.A.|2021-02-09||ATIVO|2021-02-09|25518|Comércio (Atacado e Varejo)|PRIVADO
CRUZEIRO DO SUL EDUCACIONAL S.A.|2021-02-09||ATIVO|2021-02-09|25526|Educação|PRIVADO
OCEANPACT SERVIÇOS MARÍTIMOS S.A.|2021-02-10||ATIVO|2021-02-10|25534|Petróleo e Gás|PRIVADO
LOJAS LE BISCUIT S.A.|2021-02-10||ATIVO|2021-02-10|25542|Comércio (Atacado e Varejo)|PRIVADO
ELETROMIDIA S.A.|2021-02-11||ATIVO|2021-02-11|25569|Emp. Adm. Part. - Comunicação e Informática|PRIVADO
CSN MINERAÇÃO S.A.|2021-02-12||ATIVO|2021-02-12|25585|Extração Mineral|PRIVADO
VIAPAULISTA S.A.|2021-02-19||ATIVO|2021-02-19|25607|Serviços Transporte e Logística|PRIVADO
KALUNGA S.A.|2021-03-08||ATIVO|2021-03-08|25631|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
AGROGALAXY PARTICIPAÇÕES S.A|2021-03-19||ATIVO|2021-03-19|25658|Comércio (Atacado e Varejo)|PRIVADO
LG INFORMÁTICA S.A.|2021-04-06|2022-05-12|CANCELADA|2022-05-12|25666|Comunicação e Informática|PRIVADO
CM HOSPITALAR S.A|2021-04-14||ATIVO|2021-04-14|25682|Comércio (Atacado e Varejo)|PRIVADO
HOSPITAL MATER DEI S.A.|2021-04-14||ATIVO|2021-04-14|25690|Serviços Médicos|PRIVADO
BOA SAFRA SEMENTES S.A|2021-04-19||ATIVO|2021-04-19|25704|Alimentos|PRIVADO
CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.|2021-04-26|2022-05-04|CANCELADA|2022-05-04|25739|Serviços Transporte e Logística|PRIVADO
INFRACOMMERCE CXAAS S.A.|2021-04-27||ATIVO|2021-04-27|25747|Comércio (Atacado e Varejo)|PRIVADO
VITTIA FERTILIZANTES E BIOLOGICOS S.A.|2021-04-28||ATIVO|2021-04-28|25763|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
HOSPITAL CARE CALEDONIA S.A.|2021-04-28||ATIVO|2021-04-28|25771|Serviços Médicos|PRIVADO
PETRORECÔNCAVO S.A.|2021-04-30||ATIVO|2021-04-30|25780|Petróleo e Gás|PRIVADO
KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.|2021-05-03||ATIVO|2021-05-03|25798|Construção Civil, Mat. Constr. e Decoração|PRIVADO
RODOBENS S.A.|2021-05-06||ATIVO|2021-05-06|25801|Máquinas, Equipamentos, Veículos e Peças|PRIVADO HOLDING
ATHENA SAÚDE BRASIL S.A.|2021-05-11||ATIVO|2021-05-11|25810|Emp. Adm. Part. - Serviços médicos|PRIVADO
MOVIDA LOCAÇÃO DE VEÍCULOS S.A|2021-05-11||ATIVO|2021-05-11|25828|Serviços Transporte e Logística|PRIVADO
DOTZ S.A.|2021-05-12||ATIVO|2021-05-12|25836|Comunicação e Informática|PRIVADO
TEGRA INCORPORADORA S.A.|2021-05-12||ATIVO|2021-05-12|25844|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
W2W E-COMMERCE DE VINHOS S.A.|2021-05-12||ATIVO|2021-05-12|25852|Comércio (Atacado e Varejo)|PRIVADO
KORA SAÚDE PARTICIPAÇÕES S.A.|2021-05-13||ATIVO|2021-05-13|25879|Serviços Médicos|PRIVADO
GETNINJAS S.A.|2021-05-13||ATIVO|2021-05-13|25887|Comunicação e Informática|PRIVADO
LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.|2021-05-13||ATIVO|2021-05-13|25895|Comércio (Atacado e Varejo)|PRIVADO
EMCCAMP RESIDENCIAL S.A.|2021-05-20||ATIVO|2021-05-20|25909|Construção Civil, Mat. Constr. e Decoração|PRIVADO
RAÍZEN S.A.|2021-05-28||ATIVO|2021-05-28|25917|Comércio (Atacado e Varejo)|PRIVADO
BIONEXO S.A.|2021-06-02||ATIVO|2021-06-02|25925|Comunicação e Informática|PRIVADO
HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A|2021-06-10||ATIVO|2021-06-10|25933|Comércio (Atacado e Varejo)|PRIVADO
PRIVALIA BRASIL S.A.|2021-06-18||ATIVO|2021-06-18|25941|Comércio (Atacado e Varejo)|PRIVADO
TRÊS TENTOS AGROINDUSTRIAL S.A.|2021-06-21||ATIVO|2021-06-21|25950|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
YUNY INCORPORADORA HOLDING S.A.|2021-07-07||ATIVO|2021-07-07|25976|Construção Civil, Mat. Constr. e Decoração|PRIVADO
COMPANHIA BRASILEIRA DE ALUMINIO|2021-07-13||ATIVO|2021-07-13|25984|Extração Mineral|PRIVADO
INTERCEMENT BRASIL SA|2021-07-14||ATIVO|2021-07-14|25992|Construção Civil, Mat. Constr. e Decoração|PRIVADO
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.|2021-07-14||ATIVO|2021-07-14|26000|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
MULTILASER INDUSTRIAL S.A.|2021-07-20||ATIVO|2021-07-20|26034|Comunicação e Informática|PRIVADO
UNIFIQUE TELECOMUNICAÇÕES S.A.|2021-07-23||ATIVO|2021-07-23|26050|Emp. Adm. Part. - Telecomunicações|PRIVADO
ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.|2021-07-26||ATIVO|2021-07-26|26069|Serviços Transporte e Logística|PRIVADO
TC TRADERS CLUB S.A.|2021-07-26||ATIVO|2021-07-26|26077|Comunicação e Informática|PRIVADO
BRISANET PARTICIPAÇÕES S.A.|2021-07-27||ATIVO|2021-07-27|26085|Emp. Adm. Part. - Telecomunicações|PRIVADO
CLEAR SALE S.A|2021-07-28||ATIVO|2021-07-28|26093|Comunicação e Informática|PRIVADO
GUARARAPES PAINÉIS S.A.|2021-07-30||ATIVO|2021-07-30|26115|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.|2021-08-06||ATIVO|2021-08-06|26123|Serviços Médicos|PRIVADO
ENTALPIA PARTICIPAÇÕES S.A.|2021-08-10|2021-12-16|CANCELADA|2021-12-16|26131|Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças|PRIVADO
GRUPO FARTURA DE HORTIFRUT S.A.|2021-08-16||ATIVO|2021-08-16|26166|Comércio (Atacado e Varejo)|PRIVADO
LABORATÓRIO TEUTO BRASILEIRO S.A.|2021-08-24||ATIVO|2021-08-24|26182|Farmacêutico e Higiene|PRIVADO
CARAMURU ALIMENTOS S.A.|2021-09-15||ATIVO|2021-09-15|26190|Alimentos|PRIVADO
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A|2021-09-23||ATIVO|2021-09-23|26204|Brinquedos e Lazer|PRIVADO
TIGRE S.A. PARTICIPAÇÕES|2021-10-01||ATIVO|2021-10-01|26255|Construção Civil, Mat. Constr. e Decoração|PRIVADO
UNIGEL PARTICIPAÇÕES S.A.|2021-11-03||ATIVO|2021-11-03|26301|Petroquímicos e Borracha|PRIVADO
MONTE RODOVIAS S.A.|2021-11-12||ATIVO|2021-11-12|26328|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
FULWOOD S.A.|2021-11-12||ATIVO|2021-11-12|26336|Construção Civil, Mat. Constr. e Decoração|PRIVADO
RODOVIAS DO BRASIL HOLDING S.A.|2021-11-12||ATIVO|2021-11-12|26352|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
DORI ALIMENTOS S.A.|2021-11-17||ATIVO|2021-11-17|26360|Alimentos|PRIVADO
MADERO INDÚSTRIA E COMÉRCIO S.A.|2021-11-17||ATIVO|2021-11-17|26379|Alimentos|PRIVADO
INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.|2021-11-19||ATIVO|2021-11-19|26387|Farmacêutico e Higiene|PRIVADO
ALMEIDA JUNIOR SHOPPING CENTERS S.A.|2021-11-22||ATIVO|2021-11-22|26395|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
ACO VERDE DO BRASIL S.A|2021-11-29||ATIVO|2021-11-29|26425|Metalurgia e Siderurgia|PRIVADO
HOSPITAL ANCHIETA S.A.|2021-12-08||ATIVO|2021-12-08|26468|Serviços Médicos|PRIVADO
AMMO VAREJO S.A.|2021-12-14||ATIVO|2021-12-14|26476|Emp. Adm. Part. - Têxtil e Vestuário|PRIVADO
RUMO MALHA CENTRAL S.A.|2021-12-17||ATIVO|2021-12-17|26484|Serviços Transporte e Logística|PRIVADO
LUPO S.A.|2021-12-17||ATIVO|2021-12-17|26506|Comércio (Atacado e Varejo)|PRIVADO
CERRADINHO BIOENERGIA S.A.|2021-12-21||ATIVO|2021-12-21|26522|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
DATORA PARTICIPAÇÕES E SERVIÇOS S/A|2021-12-22||ATIVO|2021-12-22|26557|Comunicação e Informática|PRIVADO
HOLDING DO ARAGUAIA S.A.|2021-12-23||ATIVO|2021-12-23|26565|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
TROCAFONE S.A.|2022-01-03|2022-05-16|CANCELADA|2022-05-16|26573|Comércio (Atacado e Varejo)|PRIVADO
CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.|2022-01-04||ATIVO|2022-01-04|26581|Serviços Transporte e Logística|PRIVADO
AURA ALMAS MINERAÇÃO S.A.|2022-01-06||ATIVO|2022-01-06|26590|Emp. Adm. Part. - Extração Mineral|PRIVADO
GSH CORP PARTICIPAÇÕES S.A.|2022-01-27||ATIVO|2022-01-27|26603|Serviços Médicos|PRIVADO
CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A.|2022-03-15||ATIVO|2022-03-15|26638|Serviços Transporte e Logística|PRIVADO
CANTU STORE S.A.|2022-03-17||ATIVO|2022-03-17|26646|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
EUROFARMA LABORATÓRIOS S.A.|2022-03-28||ATIVO|2022-03-28|26700|Farmacêutico e Higiene|PRIVADO
TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.|2022-04-27||ATIVO|2022-04-27|26760|Comércio (Atacado e Varejo)|PRIVADO
SENIOR SISTEMAS S.A.|2022-05-12||ATIVO|2022-05-12|26786|Comunicação e Informática|PRIVADO
SELF IT ACADEMIAS HOLDING S.A.|2022-05-13||ATIVO|2022-05-13|26794|Emp. Adm. Part. - Brinquedos e Lazer|PRIVADO
QESTRA TECNOLOGIA ADMINISTRAÇÃO E PARTICIPAÇÕES|2022-05-30||ATIVO|2022-05-30|26816|Comunicação e Informática|PRIVADO
CONCESSIONARIA CATARINENSE DE RODOVIAS S.A.|2022-06-21||ATIVO|2022-06-21|26859|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
