cutoff_date,codneg,nomres,especi,codemi,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2014-04-10,ODPV3,ODONTOPREV,ON  ED  NM,ODPV,2014-03-10 15:36:04,2013-12-31,531294792.0,-257122000.0,263085000.0,0.5969978215485159,3747880788.0254827,4005002788.0254827,0.06568909284822352,27.0
2014-04-10,ABEV3,AMBEV S/A,ON  ED,ABEV,2014-03-24 22:59:07,2013-12-31,15644280000.0,-8680382000.0,15375110000.0,0.4353456702004495,204953792668.47256,213634174668.47256,0.07196933741457709,28.0
2014-04-10,ARZZ3,AREZZO CO,ON      NM,ARZZ,2014-03-19 08:00:46,2013-12-31,88637000.0,-87273000.0,148490000.0,0.3475328189033138,1923340002.2077148,2010613002.2077148,0.0738530984515436,29.0
2014-04-10,SEER3,SER EDUCA,ON      NM,SEER,2014-03-26 23:05:25,2013-12-31,125213244.0,-193735000.0,137378000.0,0.5332355190175095,1926688703.3920627,2120423703.3920627,0.06478799486170385,30.0
2015-04-10,PTBL3,PORTOBELLO,ON      NM,PTBL,2015-03-23 18:59:34,2014-12-31,158488000.0,354985000.0,157757000.0,0.2663621858458629,406118063.18145907,51133063.18145907,3.0852249050708727,1.0
2015-04-10,LREN3,LOJAS RENNER,ON      NM,LREN,2015-02-12 20:02:53,2014-12-31,127395000.0,1120666000.0,802050000.0,0.2695120254683067,1612275616.403132,491609616.40313196,1.6314774431554229,2.0
2015-04-10,NATU3,NATURA,ON      NM,NATU,2015-02-11 19:21:06,2014-12-31,431239000.0,2285224000.0,1364672000.0,0.3974113421375036,5599030892.223628,3313806892.223628,0.41181397841932754,3.0
2015-04-10,RENT3,LOCALIZA,ON  EJ  NM,RENT,2015-03-24 09:03:18,2014-12-31,211793000.0,1322277000.0,726637000.0,0.2440196240086158,2256786614.46247,934509614.46247,0.7775596834474107,4.0
2015-04-10,ECOR3,ECORODOVIAS,ON      NM,ECOR,2015-03-17 19:39:00,2014-12-31,558699000.0,3525833000.0,1109418000.0,0.2089291959218978,4171745511.16191,645912511.16191,1.7175979421799799,5.0
2015-04-10,CVCB3,CVC BRASIL,ON      NM,CVCB,2015-02-09 20:27:56,2014-12-31,131465335.0,-50499000.0,324084000.0,0.7936874122945581,1690826044.8896158,1741325044.8896158,0.18611344329486973,6.0
